size_bytes,price,rating_count_tot,rating_count_ver,user_rating_ver,cont_rating,prime_genre,sup_devices.num,ipadSc_urls.num,lang.num,vpp_lic,user_rating
100788224,3.99,21292,26,4.5,4,Games,38,5,10,1,4
158578688,0,161065,26,3.5,4,Productivity,37,5,23,1,4
100524032,0,188583,2822,4.5,4,Weather,37,5,3,1,3.5
128512000,0,262241,649,4.5,12,Shopping,37,5,9,1,4
92774400,0,985920,5320,5,4,Reference,37,5,45,1,4.5
10485713,0.99,8253,5516,4,4,Games,47,5,1,1,4
227795968,0,119487,879,4.5,4,Finance,37,0,19,1,4
130242560,0,1126879,3594,4.5,12,Music,37,4,1,1,4
49250304,9.99,1117,4,5,4,Utilities,37,5,1,1,4.5
70023168,3.99,7885,40,4,4,Games,38,0,10,1,4
49618944,4.99,76720,4017,4.5,4,Games,38,4,11,1,4.5
227547136,7.99,105776,166,2.5,4,Games,37,0,6,1,3.5
179979264,0,479440,203,4,17,Utilities,37,4,33,1,3.5
160925696,0,119773,2336,4.5,4,Finance,37,0,2,1,3.5
55153664,4.99,6340,668,4.5,4,Games,38,5,2,1,4.5
207907840,0,56194,87,3.5,4,Travel,37,1,26,1,4
389879808,0,2974676,212,3.5,4,Social Networking,37,1,29,1,3.5
167407616,0,223885,3726,4.5,12,Travel,37,5,18,1,4
147093504,0,402925,136,4.5,12,Music,37,3,16,1,4
10735026,2.99,31456,4178,3.5,4,Games,47,0,1,1,4
70707916,1.99,2929,966,4.5,4,Reference,43,0,2,1,4.5
6169600,2.99,11447,781,5,4,Games,40,5,1,1,5
130583552,0,137951,131,4.5,4,Sports,37,2,6,1,4
71203840,5.99,8,0,0,4,Business,37,5,3,1,4.5
11423008,3.99,3241,297,4,4,Music,43,2,10,1,4
188017664,0,5795,12,4,4,Health & Fitness,37,5,11,1,3.5
4765696,0,42316,248,3.5,9,Games,38,0,1,1,3
287933440,0,123215,25,5,4,Productivity,37,5,23,1,3.5
4263936,4.99,782,7,3.5,4,Music,43,1,1,1,4
172772352,9.99,3449,23,4.5,4,Weather,37,5,1,1,4
273844224,0,71856,62,4.5,4,Social Networking,37,2,23,1,3.5
40216576,1.99,13350,489,5,12,Health & Fitness,38,0,15,1,4.5
2386944,0.99,137,0,0,4,Entertainment,37,1,1,1,3
105431040,0,180087,1101,4.5,12,Games,37,5,5,1,3.5
44129280,0.99,33426,299,5,4,Health & Fitness,37,5,3,1,4
116443136,0,293228,110,3,12,Music,37,5,2,1,4
1646592,1.99,21609,69,2.5,9,Entertainment,40,0,1,1,3.5
30016512,4.99,4684,10,4,4,Utilities,37,4,9,1,4
29518848,2.99,2104,0,0,17,Weather,37,0,1,1,4.5
66872320,2.99,41633,6,3,9,Games,37,0,1,1,4
45229056,2.99,3610,7,5,4,Photo & Video,37,5,1,1,4.5
127470592,0,4677,12,4,12,Music,37,5,21,1,3
44241920,3.99,30,0,0,4,Navigation,37,0,2,0,3.5
107983872,0,48905,2691,4.5,4,Music,37,4,12,1,4.5
8044544,4.99,32,0,0,4,Navigation,38,5,7,1,3
37214208,0,446185,1359,3.5,4,Travel,43,5,30,1,3.5
60320768,1.99,21825,10,4,9,Entertainment,37,5,1,1,3
100849664,0,508808,99,4.5,4,Games,38,5,10,1,3
72748032,0,57500,103,4,4,Sports,37,0,1,0,3
32164864,1.99,2576,4,5,4,Games,38,5,1,1,4
69079040,1.99,1572,34,4.5,4,Weather,37,0,13,1,4
82037760,2.99,3292,2,5,4,Business,37,2,2,1,3
150195200,4.99,8932,55,5,4,Education,37,0,12,1,4.5
199734272,0,495626,5893,4.5,4,Weather,37,0,33,1,3.5
13156352,0.99,812,14,4,4,Lifestyle,38,0,7,1,3
